,subject_id,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl
319,91321903,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/900ac403-6b04-47b0-b291-744ed221c6d0.png
320,91321925,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1ce8a87b-4af2-46fd-8094-168191dfb6f2.png
321,91321931,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8a65afb9-4bb6-4a06-becb-e842ac4fb681.png
322,91321941,6.0,6.0,0.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/97be5bb9-6e53-453e-9c46-4058621752cb.png
323,91321944,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8c6370b0-520e-4251-aa1c-cb688a187991.png
324,91321964,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e556aa84-ddfb-4a11-bd92-8913843d79e3.png
325,91321969,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ee6ec50f-24e2-4311-8300-de00ee4e8577.png
326,91321972,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/041ed748-58fb-4ea0-a13b-899af5188a67.png
327,91321973,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/7b72f409-40f8-4ace-b301-71d4dbd8ecde.png
328,91321985,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0cc390dd-1762-4a97-b988-c0d59632dd50.png
329,91321991,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6bacf930-8d51-477c-990a-32085eb4c9ea.png
330,91322001,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4831cf88-35eb-4b51-981d-d44693686d51.png
331,91322002,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6b540529-b88a-42c5-af9a-fa2170cbe701.png
332,91322006,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8463753e-7ec7-45e1-ba42-1f8bb76a2b62.png
333,91322008,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0c8f0e51-c528-4c85-a4a4-4089ae1a6054.png
334,91322011,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/76e007e3-bbab-457f-8ed5-31aeeea517d1.png
335,91322024,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e9ec872b-c16b-461f-b886-a48bc9d07c18.png
336,91322035,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/79fd6c37-f7cb-46ba-94e1-2fa195737d75.png
337,91322092,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4006e11d-00eb-4f0d-a8bd-cb7710073554.png
338,91322103,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/52c99682-1ea0-4768-894b-4d59b4569003.png
339,91322104,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5d1479ea-6141-475e-ae75-5809a99bc5e6.png
340,91322106,6.0,6.0,0.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/9e7dbb82-c0d4-449f-a097-e1e3c9e960de.png
341,91319002,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/673a4e8f-5cee-44e7-bbc1-8a028d95456f.png
342,91319004,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e765ef98-6323-4e48-bc71-cec32dd64401.png
343,91319005,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/7bf1ddd8-4768-4f65-af3d-0328c4077185.png
344,91319009,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/39267c21-11cc-4ad9-a1d6-2e4afb68992a.png
345,91319010,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b1ccd2e1-0b75-4158-bb2d-d380c77800b8.png
346,91319011,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d4cebd29-3d83-4946-8a90-184fd7a425ac.png
347,91319013,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/355b0035-256f-4562-9c6c-4753725b8e6d.png
348,91319016,0.0,0.0,0.0,1.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a32ebc1c-a51b-447f-8137-e07f47654e13.png
349,91319017,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fec4ed75-6503-46a0-a89d-91cc203f1b47.png
350,91319025,0.0,0.0,0.0,0.0,0.0,1.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0975bc55-d60d-4b7a-9268-d6dc9c14d12d.png
