Filename,a,b
010713-715003.png,6.54,6.06
010111-721900.png,8.15,6.07
010446-715526.png,6.48,5.96
010007-722248.png,7.67,6.67
010225-714722.png,6.87,5.94
010703-712509.png,9.21,7.79
005911-712658.png,7.14,5.92
010501-712234.png,7.16,6.1
011049-720946.png,6.94,6.51
005641-720023.png,6.54,6.02
010528-712917.png,6.66,6.18
010348-722456.png,6.67,5.99
010521-712744.png,6.78,5.67
010606-715251.png,6.52,6.37
010825-715145.png,6.31,5.45
005955-722657.png,7.1,5.88
011055-721729.png,6.52,6.05
010906-721206.png,6.46,6.11
010143-715431.png,6.86,6.47
010406-720758.png,6.87,6.06
010530-712813.png,6.84,6.51
010603-724124.png,9.81,7.76
010012-722101.png,6.42,5.97
010245-713326.png,7.03,6.39
010150-721833.png,6.56,6.44
011119-720905.png,6.96,5.98
010336-714217.png,6.26,6.18
010512-715010.png,6.77,6.43
005858-722528.png,6.73,5.98
010815-722246.png,6.72,5.98
010338-721926.png,6.56,6.06
010809-713419.png,7.65,6.65
010859-715916.png,6.85,6.03
010207-714854.png,6.87,6.26
010058-714523.png,8.16,6.68
010651-722213.png,6.34,6.21
005635-720654.png,6.27,6.03
010527-713635.png,6.79,6.03
010107-722737.png,7.28,6.87
010843-721903.png,6.43,6.03
010353-720826.png,6.75,6.63
010246-712640.png,6.66,6.12
010010-721547.png,6.72,6.17
010137-715416.png,6.94,6.19
010439-713141.png,8.62,7.12
005810-715227.png,6.48,6.28
010023-712452.png,6.31,5.75
010023-712206.png,6.94,6.22
011143-714557.png,7.14,6.41
011145-714558.png,6.82,6.02
010403-720137.png,8.06,6.29
010400-720141.png,11.62,8.73
010359-720204.png,6.58,6.45
010358-720154.png,7.6,6.03
010402-720211.png,13.25,9.49
010405-720153.png,8.85,7.8
010232-712159.png,8.38,7.72
010630-713547.png,6.49,6.07
010035-724056.png,6.85,6.35
010010-720227.png,6.61,6.02
010232-715557.png,6.57,6.19
010337-715847.png,6.73,6.3
005829-714041.png,6.84,5.99
010809-713531.png,7.19,5.61
010429-723111.png,9.96,7.92
010024-722854.png,6.8,5.78
011214-715102.png,6.62,6.34
011137-714920.png,6.88,5.98
005620-721404.png,6.45,5.95
005935-720212.png,6.68,6.08
005950-721635.png,6.65,6.02
010710-720103.png,6.96,6.09
010838-722622.png,6.83,6.14
010719-715815.png,6.59,6.05
010919-713112.png,6.55,6.25
005834-712625.png,12.75,12.63
005928-723139.png,6.36,6.32
005702-721012.png,7.8,5.61
010725-720343.png,18.26,9.42
010438-715246.png,16.88,11.17
010901-722242.png,6.66,6.44
005700-715358.png,6.61,6.16
010714-720104.png,6.62,6.02
010508-714634.png,10.66,6.2
010506-714636.png,6.66,6.31
011102-720946.png,6.55,6.32
010215-713558.png,6.78,5.93
005704-713124.png,6.48,5.77
011143-720244.png,6.69,6.08
010015-715033.png,11.44,7.26
010221-722844.png,6.81,6.4
010215-722744.png,6.73,6.48
010149-722345.png,6.43,5.94
010854-721208.png,6.65,6.1
005641-714508.png,6.9,6.67
010920-721819.png,6.5,6.06
010115-721638.png,6.75,6.04
010728-720711.png,18.18,13.06
010803-720416.png,6.51,6.34
010759-720424.png,6.26,6.18
010206-713355.png,6.72,6.14
010401-712410.png,6.83,5.79
010027-721818.png,6.61,6.05
010751-714015.png,6.79,6.25
010248-712947.png,8.58,7.92
010709-723758.png,7.48,6.9
010911-723052.png,6.78,6.3
010542-721833.png,7.12,6.12
005954-715811.png,6.74,6.0
005954-715804.png,6.99,6.04
010443-721830.png,7.54,6.51
010719-715606.png,6.94,6.27
011041-714834.png,6.55,6.06
010253-721224.png,6.66,6.37
010028-720553.png,6.68,6.07
005935-714210.png,6.6,5.94
010233-713634.png,7.73,6.63
010025-721806.png,6.62,5.6
005706-721208.png,7.07,6.65
010857-715959.png,6.62,6.04
005536-715444.png,7.29,6.85
010007-713745.png,6.5,5.99
010113-714652.png,7.87,7.78
010918-713819.png,6.66,5.76
010656-713435.png,7.14,6.14
010521-714419.png,7.2,6.05
010111-712638.png,7.52,6.7
010354-721614.png,7.32,6.68
010251-722800.png,6.48,6.4
010114-720754.png,6.51,5.69
010151-724110.png,6.63,6.42
005731-722303.png,6.54,5.9
010905-723007.png,9.79,8.06
010224-721018.png,6.67,6.27
010929-722149.png,7.11,6.97
010619-715149.png,6.48,6.04
010507-712449.png,6.63,6.05
005810-714612.png,9.05,6.52
010531-712515.png,6.44,5.93
010455-723308.png,7.08,6.13
010420-721446.png,6.52,6.15
010055-720609.png,6.55,6.05
