subject_id,Filename,flag_rad_point,a,b,is_point
91319206,010420-721446.png,0.0,6.52,6.15,1.0
91319207,010426-713504.png,1.0,6.96,6.19,1.0
91319208,010436-720225.png,0.0,6.63,6.04,1.0
91319209,010509-721147.png,1.0,6.77,6.0,1.0
91319210,010514-713418.png,0.0,9.15,6.93,0.0
91319211,010527-713635.png,1.0,6.79,6.03,1.0
91319212,010530-721702.png,0.0,6.84,6.29,1.0
91319213,010537-715317.png,1.0,6.61,5.95,1.0
91319214,010637-722643.png,1.0,7.53,6.4,1.0
91319215,010653-712712.png,1.0,6.94,6.25,1.0
91319216,010654-720221.png,0.0,6.65,6.09,1.0
91319217,010703-712509.png,1.0,9.21,7.79,0.0
91319218,010719-715606.png,1.0,6.94,6.27,1.0
91319219,010719-720555.png,1.0,11.67,7.74,0.0
91319220,010803-720416.png,0.0,6.51,6.34,1.0
91319221,010816-721658.png,0.0,9.1,7.87,0.0
91319222,010838-713500.png,1.0,9.1,7.56,0.0
91319223,010845-715048.png,1.0,6.95,6.41,1.0
91319224,010935-713825.png,0.0,6.59,6.01,1.0
91319225,005429-720158.png,0.0,6.67,6.23,1.0
91319226,005622-715111.png,0.0,7.13,6.06,1.0
91319227,005728-720135.png,1.0,6.69,6.05,1.0
91319228,005848-714644.png,1.0,6.59,6.05,1.0
91319229,010056-722655.png,1.0,6.69,6.17,1.0
91319230,010108-713648.png,0.0,6.58,6.24,1.0
91319231,010125-713856.png,0.0,6.78,6.41,1.0
91319232,010135-713943.png,0.0,6.57,6.34,1.0
91319233,010204-722448.png,0.0,6.69,6.02,1.0
91319234,010215-723042.png,0.0,8.16,6.6,0.0
91319235,010254-715029.png,0.0,7.07,6.11,1.0
91319236,010316-722712.png,1.0,6.82,6.01,1.0
91319237,010400-720141.png,0.0,11.62,8.73,0.0
91319238,010410-721508.png,0.0,6.49,5.48,1.0
91319239,010509-723235.png,1.0,9.47,8.28,0.0
91319240,010526-715124.png,1.0,7.91,7.03,0.0
91319241,010552-715121.png,0.0,6.62,6.34,1.0
91319242,010630-722110.png,1.0,6.58,6.01,1.0
91319243,010704-715153.png,1.0,6.56,6.11,1.0
91319244,010709-723758.png,1.0,7.48,6.9,0.0
91319245,010713-715632.png,0.0,6.65,5.99,1.0
91319246,010808-713949.png,0.0,6.7,6.17,1.0
91319247,010810-721302.png,1.0,6.82,6.15,1.0
91319248,010815-712854.png,0.0,6.47,6.02,1.0
91319249,010821-714925.png,0.0,6.72,6.35,1.0
91319250,010843-721609.png,0.0,6.52,6.44,1.0
91319251,010855-721329.png,1.0,6.82,6.2,1.0
91319252,010927-722221.png,0.0,7.1,6.39,1.0
91319253,010947-722131.png,0.0,6.67,6.19,1.0
91319254,011018-714720.png,0.0,6.76,6.15,1.0
91319255,005706-721208.png,1.0,7.07,6.65,1.0
91319256,005730-714605.png,1.0,6.78,6.0,1.0
91319257,005743-715915.png,0.0,6.64,6.04,1.0
91319258,005745-722341.png,1.0,6.79,6.38,1.0
91319259,005815-723009.png,0.0,6.84,5.99,1.0
91319260,005842-722717.png,0.0,6.78,6.44,1.0
91319261,005851-713319.png,1.0,6.76,5.9,1.0
91319262,005858-722528.png,0.0,6.73,5.98,1.0
91319263,005953-714303.png,0.0,6.55,6.13,1.0
91319264,010135-723557.png,0.0,7.81,6.57,0.0
91319265,010149-722345.png,0.0,6.43,5.94,1.0
91319266,010223-722347.png,0.0,8.08,6.3,0.0
91319267,010241-713318.png,0.0,7.77,7.06,0.0
91319268,010246-712640.png,1.0,6.66,6.12,1.0
91319269,010332-712917.png,0.0,6.41,6.27,1.0
91319270,010350-722727.png,1.0,7.03,6.45,1.0
91319271,010352-724344.png,1.0,6.59,6.07,1.0
91319272,010428-724117.png,1.0,7.21,7.07,0.0
91319273,010507-723857.png,0.0,6.55,6.07,1.0
91319274,010537-723737.png,0.0,6.66,6.17,1.0
91319275,010601-720336.png,0.0,6.63,6.18,1.0
91319276,010706-723029.png,0.0,6.72,6.04,1.0
91319277,010723-713241.png,1.0,6.6,6.21,1.0
91319278,010808-715322.png,1.0,7.19,6.44,1.0
91319279,010841-721516.png,0.0,7.06,6.76,1.0
91319280,010841-721602.png,0.0,6.91,6.33,1.0
91319281,010911-723052.png,0.0,6.78,6.3,1.0
91319282,010927-720818.png,1.0,10.26,7.62,0.0
91319283,011035-720025.png,0.0,6.64,6.17,1.0
91319284,011038-721740.png,1.0,7.29,6.3,1.0
91319285,011119-720905.png,0.0,6.96,5.98,1.0
91319286,005540-721049.png,0.0,6.49,6.35,1.0
91319287,005557-722605.png,0.0,6.66,6.19,1.0
91319288,005729-720522.png,1.0,6.79,6.06,1.0
91319289,005833-723211.png,1.0,6.5,6.01,1.0
91319290,005903-714824.png,1.0,6.81,6.3,1.0
91319291,005930-722753.png,1.0,6.85,6.65,1.0
91319292,005950-721635.png,1.0,6.65,6.02,1.0
91319293,010028-720553.png,1.0,6.68,6.07,1.0
91319294,010035-715654.png,0.0,6.58,6.0,1.0
91319295,010051-715200.png,1.0,7.96,7.03,0.0
91319296,010116-722852.png,1.0,6.99,6.57,1.0
91319297,010136-714506.png,0.0,6.57,5.97,1.0
91319298,010206-713355.png,1.0,6.72,6.14,1.0
91319299,010206-720931.png,0.0,6.64,5.9,1.0
91319300,010215-722744.png,1.0,6.73,6.48,1.0
91319301,010232-723009.png,0.0,6.68,6.01,1.0
91319302,010246-721240.png,0.0,6.63,6.15,1.0
91319303,010253-724112.png,0.0,6.82,5.95,1.0
91319304,010338-721926.png,0.0,6.56,6.06,1.0
91319305,010438-714638.png,1.0,6.66,5.86,1.0
91319306,010446-715526.png,0.0,6.48,5.96,1.0
91319307,010448-722220.png,0.0,6.55,6.14,1.0
