,subject_id,data.yes,data.no,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.yes-it-looks-like-a-radio-point-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,multi-source,homogeneous,point-star,oddORnot-sure,core-in-diffuse,Sum,Total_Class,multiFrac,homoFrac,pointFrac,unsureOddFrac,coreFrac,ext_radFrac,point_radFrac,flag_rad_point,flag_rad_extended,flag_rad_unsure,flag_optical_counterpart,metadata,locations,classifications_count,Filename,LCurl
1044,91321573,2.0,3.0,2.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0,0.0,"{""Filename"":""012654-740345.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c4f647c0-b299-4d42-9c0c-c2f4986906fa.png""}",5,012654-740345.png,https://panoptes-uploads.zooniverse.org/subject_location/c4f647c0-b299-4d42-9c0c-c2f4986906fa.png
1045,91321575,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012655-733413.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/cabe1488-01d9-4b14-ac75-99ca0da36928.png""}",5,012655-733413.png,https://panoptes-uploads.zooniverse.org/subject_location/cabe1488-01d9-4b14-ac75-99ca0da36928.png
1046,91321576,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012656-732041.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/ae637a60-02df-4e53-8b8b-2d1b5bb3a774.png""}",5,012656-732041.png,https://panoptes-uploads.zooniverse.org/subject_location/ae637a60-02df-4e53-8b8b-2d1b5bb3a774.png
1047,91321578,5.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,5.0,0.2,0.0,0.2,0.0,0.6,0.8,0.2,0.0,0.0,1.0,1.0,"{""Filename"":""012701-734559.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c2cbff38-bc24-4c68-a980-42d5d1ff2456.png""}",5,012701-734559.png,https://panoptes-uploads.zooniverse.org/subject_location/c2cbff38-bc24-4c68-a980-42d5d1ff2456.png
1048,91321579,1.0,4.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.0,0.0,"{""Filename"":""012702-734323.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/758e11ea-505e-465d-af49-a6a28c72285d.png""}",5,012702-734323.png,https://panoptes-uploads.zooniverse.org/subject_location/758e11ea-505e-465d-af49-a6a28c72285d.png
1049,91321581,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012703-733251.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/fdc2a269-9dff-4c2b-9bc5-cc6d0671ca1a.png""}",5,012703-733251.png,https://panoptes-uploads.zooniverse.org/subject_location/fdc2a269-9dff-4c2b-9bc5-cc6d0671ca1a.png
1050,91321582,4.0,1.0,5.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,5.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"{""Filename"":""012703-734611.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a4a4cbdb-e6f5-4f84-bd78-e509dac7c362.png""}",5,012703-734611.png,https://panoptes-uploads.zooniverse.org/subject_location/a4a4cbdb-e6f5-4f84-bd78-e509dac7c362.png
1051,91321584,5.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,4.0,5.0,5.0,0.0,0.2,0.0,0.0,0.8,0.4,0.6,0.0,0.0,1.0,1.0,"{""Filename"":""012704-734512.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6198a6c5-c51f-4068-aef3-dce01948201b.png""}",5,012704-734512.png,https://panoptes-uploads.zooniverse.org/subject_location/6198a6c5-c51f-4068-aef3-dce01948201b.png
1052,91321585,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{""Filename"":""012705-725554.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/56c9b44d-f1a5-4eb8-9429-a7a832de4e62.png""}",5,012705-725554.png,https://panoptes-uploads.zooniverse.org/subject_location/56c9b44d-f1a5-4eb8-9429-a7a832de4e62.png
1053,91321587,5.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,5.0,0.0,0.0,0.8,0.0,0.2,0.6,0.4,0.0,0.0,1.0,1.0,"{""Filename"":""012705-731834.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/0645d3bf-2b4b-4679-a30b-391e11b5e99f.png""}",5,012705-731834.png,https://panoptes-uploads.zooniverse.org/subject_location/0645d3bf-2b4b-4679-a30b-391e11b5e99f.png
